ID,Card Name,Type Description,Artist Name,Rule Text,Quote
0685,Invoke Prejudice,Enchantment,Harold McNeill,"All summon spells controlled by target opponent are countered.  Ignore this effect if the spell matches the color of any creature you control.  The opponent may spend  |X to prevent this effect, where X is the casting cost of the summon spell.",
0686,Ivory Guardians,Summon Guardians,Melissa Benson,Gains +1/+1 if opponent controls any red cards.,"The elite guard of the Mesa High Priests, the Ivory Guardians were created to protect the innocent and faithful. Some say their actions are above the law."
0687,Jacques le Vert,Summon Legend,Andi Rusu,All your green creatures get +0/+2.,"Abandoning his sword to return to the lush forest of Pendlhaven, Jacques le Vert devoted his life to protecting the creatures of his homeland."
0688,Jasmine Boreal,Summon Legend,Richard Kane-Ferguson,,"""Peace must prevail, even if the wicked must die."""
0689,Jedit Ojanen,Summon Legend,Mark Poole,,"Mightiest of the Cat Warriors, Jedit Ojanen forsook the forests of his tribe and took service with the RObaran Mercenaries, rising through their ranks to lead them in the battle for Efrava."
0690,Jerrard,Summon Legend,Andi Rusu,,"Once, the order of the Closed Fist reached throughout th Kb'Briann Highlands. Now, Jerrard alone remains to uphold their standard."
0691,Johan,Summon Legend,Mark Tedin,As long as Johan is not tapped and doesn't attack your other creatures are not tapped when attacking,
0692,Jovial Evil,Sorcery,Christopher Rush,Jovial Evil deals 2 damage to target player for each white creature he or she controls.,"""Today, for a lark, let's visit the plains,. I'm sure we'll find something to entertain us."""
0693,Juxtapose,Sorcery,Justin Hampton,Players exchange two highest casting cost creatures and artifacts in play. Owner chooses in case of ties. Return at game end,
0694,Karakas,Land,Nicola Leonard,|T: Add |W to your mana pool. ; |T: Return target legend to its owner's hand.,"""To make a prairie it takes a clover and one bee, / One clover and a bee, / And revery."" --- Emily Dickenson"
0695,Kasimer Lone Wolf,Summon Legend,Richard Kane-Ferguson,,Popular indeed is the tale of how Kasimir was once a Holy man who renounced his order to take up the sword. But this tale is no more likely than any other.
0696,Keepers of Faith,Summon Keepers,Daniel Gelon,,"And then the Archangel Anthius spoke to them, saying, ``Fear shall be vanquished by the Sword of Faith.''"
0697,Kei Takahashi,Summon Legend,Scott Kirschner,|T: to prevent 2 damage to any target creature,
0698,Killer Bees,Summon Bees,Phil Foglio,|G: +1/+1 until end of turn,"The communal mind produces a savage strategy, yet no one could predict that this vicious crossbreed would unravel the secret of steel."
0699,Kismet,Enchantment,Kaja Foglio,"All of target player's creatures, lands, and artifact come into play tapped.",
0700,Knowledge Vault,Artifact,Amy Weber,,
0701,Kobold Drill Sergent,Summon Sergent,Julie Baroh,All Kobolds you control get +0/+1 and gain trample.,"""Joining this army is easy, boy. Just survive your first battle."""
0702,Kobold Overlord,Summon Lord,Julie Baroh,First strike ; All Kobolds you control gain first strike.,"""One for all and all for one; we strike first and then you're don!"" --- Oath of the Kobold Musketeers"
0703,Kobold Taskmaster,Summon Taskmaster,Randy Asplund-Faith,All Kobolds you control get +1/+0.,The Taskmaster knows that there is no cure for the common Kobold.
0704,Kher Keep Kobolds,Summon Kobolds,Julie Baroh,,Kher Keep is unique among fortresses: impervious to aerial assault but defenseless from the ground.
0705,Kry Shield,Artifact,Richard Thomas,"|2 |T:  Target creature you control gets +0/+X until end of turn, where X is the creature's casting cost.  This creature deals no damage in combat this turn.",
0706,Lady Caladria,Summon Legend,Bryon Wackwitz,|T: Lady Caleria deals 3 damage to target attacking or blocking creature.,
0707,Lady Evangela,Summon Legend,Mark Poole,|B|W |T: Target creature deals no damage in combat this turn.,"""When milady was young, the sight of a rainbow would fill her soul with peace. As she grew, she learnedto share her rapture with others."" --- Lady Gabriella"
0708,Lady Orca,Summon Legend,Sandra Everingham,,"""I do not remember what he said to her. I remember her fiery eyes, fixed upon him for an instant. I remember a flash, and the hot breath of sudden flames made me turn away. When I looked again, Angus was gone."" --- A Wayfarer, on meeting Lady Orca"
0709,Land Equilibrium,Enchantment,Jesper Myrfors,,
0710,Land Tax,Enchantment,Brian Snoddy,"During your upkeep, if an opponent controls more land than you, you may search your library and remove up to three basic land cards and put them into your hand.  Reshuffle your library afterwards.",
0711,Land's Edge,Enchant World,Brian Snoddy,Any player may discard a card from hand at any time. Lands do 2 damage to target player of discarding player.,
0712,Lesser Werewolf,Summon Lycanthrope,Quinton Hoover,|B and give werewolf -1 pow until EOT: give creature blocked or blocking wolf -1 tough perm.,
0713,Life Chisel,Artifact,Anthony Waters,Sacrifice a creature: gain life equal to the creature's toughness.  Use this ability only during your upkeep.,
0714,Life Matrix,Artifact,Amy Weber, |4 |T: Put a counter on target creature.  You may remove this counter later to regenerate the creature.  Use this ability only during your upkeep.,
0715,Lifeblood,Enchant na ,Mark Tedin,Gain 1 life each time a mountain controlled by target opponent becomes tapped.,"""Foolish wizard! As you tap the power of your lofty keep, so grows my strength."" --- Malvern Xelionos, Letters"
0716,Living Plane,Enchant World,Bryon Wackwitz,All lands become 1/1 creatures but still count as lands.  Lands may not be tapped for mana the turn they come into play.,
0717,Livonya Silone,Summon Legend,Richard Kane-Feguson,"First strike, legendary land-walk","Livonya's own nature is a matter of mystery. Nothing is known for sure, merely rumors of unearthly stealth and unholy alliances."
0718,Lord Magnus,Summon Legend,Mark Tedin,First strike  Creatures with plainswalk or forestwalk may be blocked as if they did not have either ability.,
0719,Lost Soul,Summon Lost Soul,Randy Asplund-Faith,Swampwalk,"Her hand gently beckons, she whispers your name --- But those who go with her are never the same."
0720,Mana Drain,Interrupt,Mark Tedin,"Counter target spell.  At the beginning of your next main phase, add  |X to your mana pool, where X is the casting cost of the spell.",
0721,Mana Matrix,Artifact,Mark Tedin,,
0722,Marble Priest,Artifact Creature,Melissa Benson,,
0723,Marhault Elsdragon,Summon Legend,Mark Poole,,"Marhault Elsdragon follows a strict philosophy, never letting emotions cloud his thoughts. No chance observer could imagine the rage in his heart."
0724,Master of the Hunt,Summon Master,Jeff A. Menges,|2|G|G: Put a Wolves of the Hunt token into play.  Treat this token as a 1/1 creature with bands with other Wolves of the Hunt.,
0725,Mirror Universe,Artifact,Phil Foglio,|T: Sacrifice Mirror Universe during your upkeep to trade life point totals with target opponent.  Effects that prevent or redirect damage may not be used to prevent life lost in this way.,
0726,Moat,Enchantment,Jeff A. Menges,Only creatures with flying can attack.,"The purpose of any moat is to impede attack. Some are filled with water, some with thistles. Some are filled with things best left unseen."
0727,Mold Demon,Summon Demon,Jesper Myrfors,"When Mold Demon comes into play, sacrifice two swamps or bury Mold Demon.",
0728,Moss Monster,Summon MossMonster,Jesper Myrfors,,"After the battle, an eerie silence gripped the forest. The loser's remains were lightly dusted with green."
0729,Mountain Hold,Land,Tom Wanerstrand,All your red legends gain bands with other legends.,
0730,Mountain Yeti,Summon Yeti,Dan Frazier,"Mountainwalk, protection from white",The Yeti's single greatest asset is its unnerving ability to blend in with its surroundings.
0731,Nebuchadnezzar,Summon Legend,Richard Kane-Ferguson,|X |T: Name a card. Opponent reveals x cards from hand and discards all those matching named card. Only during controller's turn,
0732,Nether Void,Enchant World,Harold McNeill,All spells are countered.  The caster of a spell may pay |3 to prevent this effect.,"These days, some wizards are finding that they have a little too musc spell left at the end of their mana."
0733,Nicol Bolas,Summon ElderDragon,Edward Beard Jr.,An opponenet damaged by Nicol Bolas must discard entire hand. Pay|U|B|R during Upkeep or Nicol Bolas is buried.,
0734,North Star,Artifact,Kaja Foglio,"|4, |T: One spell you cast this turn may be paid for with any type of mana.  The spell retains its normal color.  Play this ability as an interrupt.",
0735,Nova Pentacle,Artifact,Richard Thomas,|3 |T: All damage dealt to you is redirect to target creature of opponent's choice.,
0736,Osai Vultures,Summon Vultures,Dan Frazier,"Flying  At the end of any turn in which a creature is put into the graveyard, put a carrion counter on Vultures.   |0: Remove two carrion counters to give Vultures +1/+1 until end of turn.","A sign of battle, the Vultures circle and wait for the victorious to depart."
0737,Palladia-Mors,Summon ElderDragon,Edward Beard Jr.,Pay |W|G|R during your upkeep or Palladia is buried.,
0738,Part Water,Sorcery,NeNe Thomas,X target creatures gain islandwalk until end of turn.,""" ... and the waters were a wall unto them on their right hand and on their left."" --- exodus, 14:22"
0739,Pavel Maliki,Summon Legend,Andi Rusu,|B|R: +1/+0 until end of turn,"We all know the legend: Pavel wanders the realms, helping those in greatest need. But is this a measure of his generosity, or of his obligation to atone?"
0740,Pendlehaven,Land,Bryon Wackwitz,|T: Add |G to your mana pool. ; |T: Target 1/1 creature gets +1/+2 until end of turn.,"""This is the forest primeval. The murmuring pines and the hemlocks... / Stand lik Druids of old."" --- Henry Wadsworth Longfellow, ""Evangeline"""
0741,Petra Sphinx,Summon Sphinx,Sandra Everingham,|T:  make target player guess the name of the next card of their library. Player then draws card and if correct it goes in hand otherwise it is discarded,"What walks on four legs in the morning, two legs in the afternoon, and three legs in the evening?"
0742,Pit Scorpian,Summon Scorpion,Scott Kirschner,"If Pit Scorpion damages a player, he or she gets a poison counter.  If a player has ten or more poison counters, he or she loses the game.",Sometimes the smallest nuisance can be the greatest pain.
0743,Pixie Queen,Summon Pixie,Quinton Hoover,Flying ; |G|G|G |T: Target creature gains flying until end of turn.,
0744,Planar Gate,Artifact,Melissa Benson,,"Nireya reached through the Gate, sensing the energies trapped beyond."
0745,Pradesh Gypsies,Summon Gypsies,Quinton Hoover,|1|G |T: Target creature gets -2/-0 until end of turn.,
0746,Master's Presence,Enchantment,Phil Foglio,All enchantments are countered.,
0747,Primordial Ooze,Summon Ooze,Sandra Everingham,Gains +1/+1 each upkeep but must attack each turn. Pay one mana per combined points of power/tuff that the Ooze has gained or it does power in damage to you and is tapped,"The thick, moving mass from the beginning of evolution swallows and digests the animate and inanimate as it unthinkingly strives to continue existence."
