Sentinel,Card Name,Game ID,Card Status,,,,Original Set,,Additional Cardsets,,,,Mana Sources,Types of Mana Generated,,,,,,AI Values,Color and Land Values,,,,,,Dependencies,,,Class Value Modifiers,,,,,,,,,,,,,,,,,,,,,Persistant Attributes,,Variable Attributes,,,Creature Abilities,1 has 2 gives 4 anti,,,,
508,Crimson Manticore,0604,Yes,,,,Legends,R,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,1,-,-,-,-,-
509,Crookshank Kobolds,0605,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-
510,Cyclopean Mummy,0606,No,,,,Legends,C2,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,1,-,-,-,-,-,-,-,-,-
513,D'Avenant Archer,0607,No,Easy,Crimson Manticore,,Legends,C2,-,-,C,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-
511,Dakkon Blackblade,0608,No,,,,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,6,1,1,1,-,-,-,-,-,-
512,Darkness,0609,No,,,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
514,Deadfall,0610,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
515,Demonic Torment,0611,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
516,Devouring Deep,0612,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-
517,Disharmony,0613,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
518,Divine Intervention,0614,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
519,Divine Offering,0615,No,Easy,Swords to Plowshares,,Legends,C2,-,-,C,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
520,Divine Transformation,0616,Yes,,,,Legends,U ,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
521,Dream Coat,0617,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
522,Durkwood Boars,0618,Yes,,,,Legends,C2,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-,-,-,-
523,Dwarven Song,0619,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
524,Elder Land Wurm,0620,No,,,,Legends,R,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,5,5,-,-,-,-,-,1,-,-,-
525,Elder Spawn,0621,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,6,-,-,-,-,-,-,-,-,-
526,Elven Riders,0622,Yes,,,,Legends,R,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
527,Emerald Dragonfly,0623,No,,,,Legends,C2,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,1,-,-,1,-,-
528,Enchanted Being,0624,No,,,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
529,Enchantment Alteration,0625,No,,,,Legends,C1,-,-,-,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
530,Energy Tap,0626,No,,,,Legends,C2,-,C,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
531,Equinox,0627,No,,,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
532,Eternal Warrior,0628,Yes,,,,Legends,U1,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
533,Eureka,0629,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
534,Evil Eye of Orms-by-Gore,0630,No,Moderate,Akron Legionnaire,,Legends,U1,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,6,-,-,-,-,-,-,-,-,-
535,Fallen Angel,0631,No,Easy,Atog,,Legends,U1,-,-,U,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,-,-,-,1,-,-,-,-,-
536,Falling Star,0632,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
537,Feint,0633,No,,,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
538,Field of Dreams,0634,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
539,Fire Sprites,0635,No,,,,Legends,C2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,-,-,-
540,Firestorm Phoenix,0636,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,2,-,-,-,1,-,-,-,-,-
541,Flash Counter,0637,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
542,Flash Flood,0638,No,,,,Legends,C2,-,-,-,C3,-,-,-,-,-,-,-,-,00010,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
543,Floral Spuzzem,0639,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
544,Force Spike,0640,No,Moderate,Power Sink,,Legends,C2,-,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
545,Forethought Amulet,0641,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
546,Fortified Area,0642,No,,,,Legends,U1,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0,3,-,-,-,-,-,-,-,-,-,-
547,Frost Giant,0643,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-,-,-,-
548,Gabriel Angelfire,0644,No,,,,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,4,-,-,-,1,-,1,1,-,-
549,Gaseous Form,0645,Yes,,,,Legends,C1,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
550,Gauntlets of Chaos,0646,No,Moderate,Juxtapose,,Legends,R,-,-,R,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
551,Ghosts of the Damned,0647,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,2,-,-,-,-,-,-,-,-,-
552,Giant Slug,0648,No,,,,Legends,C2,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
553,Giant Strength,0649,Yes,,,,Legends,C2,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
554,Giant Turtle,0650,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,4,-,-,-,-,-,-,-,-,-
555,Glyph of Delusion,0651,No,,,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
556,Glyph of Destruction,0652,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,10,-,-,-,-,-,-,-,-
557,Glyph of Doom,0653,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
558,Glyph of Life,0654,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
559,Glyph of Reincarnation,0655,No,,,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
560,Gosta Dirk,0656,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-,1,-,-
561,Gravity Sphere,0657,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,4,-,-,-,-,-
562,Great Defender,0658,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,5,-,-,-,-,-,-,-
563,Great Wall,0659,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
564,Greater Realm of Preservation,0660,No,Easy,Circles of Protection,,Legends,U1,-,-,U,-,-,-,-,-,-,-,-,-,00110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
565,Greed,0661,No,,,,Legends,R,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
566,Green Mana Battery,0662,No,,,,Legends,U1,-,R,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
567,Gwendlyn Di Corci,0663,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,5,-,-,-,-,-,-,-,-,-
568,Halfdane,0664,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
569,Hammerheim,0665,No,,,,Legends,U2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
570,Hazezon Tamar,0666,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,9,11,-,-,-,-,-,-,-,-,-
571,Headless Horseman,0667,No,,,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
572,Heaven's Gate,0668,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
573,Hell Swarm,0669,No,,,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
575,Hell's Caretaker,0670,No,,,,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
574,Hellfire,0671,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,1,11011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
576,Holy Day,0672,No,,,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
577,Horn of Deafening,0673,No,,,,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
578,Hornet Cobra,0674,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,1,-,-,-,-,-,-,1,-,-
579,Horror of Horrors,0675,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,00100,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
580,Hunding Gjornersen,0676,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,4,-,-,-,-,-,-,-,-,-
581,Hyperion Blacksmith,0677,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
582,Ichneumon Druid,0678,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
583,Immolation,0679,No,,,,Legends,C1,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,0,2,-,-,-,-,-,-,-,-,-,-
584,Imprison,0680,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
585,In the Eye of Chaos,0681,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
586,Indestructable Aura,0682,No,,,,Legends,C2,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
587,Infernal Medusa,0683,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
588,Infinite Authority,0684,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,-,-,-,-,-,-
589,Invoke Prejudice,0685,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
590,Ivory Guardians,0686,No,Moderate,"Sedge Troll, Goblin King",,Legends,U1,-,-,U,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
591,Jacques le Vert,0687,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,4,-,-,-,-,-,-,-,-,-
592,Jasmine Boreal,0688,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,5,-,-,-,-,-,-,-,-,-
593,Jedit Ojanen,0689,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,5,-,-,-,-,-,-,-,-,-
594,Jerrard of the Closed Fist,0690,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,5,-,-,-,-,-,-,-,-,-
595,Johan,0691,No,,,,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,4,-,-,-,-,-,-,-,-,-
596,Jovial Evil,0692,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
597,Juxtapose,0693,No,Hard,Control Magic,,Legends,R,-,-,R,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
598,Karakas,0694,No,,,,Legends,U2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
599,Kasimer the Lone Wolf,0695,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,3,-,-,-,-,-,-,-,-,-
600,Keepers of the Faith,0696,No,,,,Legends,C2,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,3,-,-,-,-,-,-,-,-,-
601,Kei Takahashi,0697,No,,,,Legends,R,-,-,-,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
602,Killer Bees,0698,Yes,,,,Legends,R,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,1,1,1,1,1,-,-,-,-,-
603,Kismet,0699,Yes,,,,Legends,U1,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
604,Knowledge Vault,0700,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
605,Kobold Drill Sergeant,0701,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-
606,Kobold Overlord,0702,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,1,-,-
607,Kobold Taskmaster,0703,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-
608,Kobolds of Kher Keep,0704,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-
609,Kry Shield,0705,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,4,-,-,-,-,-,-,-,-,-
610,Lady Caleria,0706,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,6,-,-,-,-,-,-,-,-,-
611,Lady Evangela,0707,No,,,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-
